ProductKey;OrderDateKey;DueDateKey;ShipDateKey;CustomerKey;SalesOrderNumber;SalesAmount
310;20221229;20230110;20230105;21768;SO43697;"14885,6032"
346;20221229;20230110;20230105;28389;SO43698;"14143,9584"
346;20221229;20230110;20230105;25863;SO43699;"14143,9584"
336;20221229;20230110;20230105;14501;SO43700;"2908,2485"
346;20221229;20230110;20230105;11003;SO43701;"14143,9584"
311;20221230;20230111;20230106;27645;SO43702;"14885,6032"
310;20221230;20230111;20230106;16624;SO43703;"14885,6032"
351;20221230;20230111;20230106;11005;SO43704;"14039,9584"
344;20221230;20230111;20230106;11011;SO43705;"14143,9584"
312;20221231;20230112;20230107;27621;SO43706;"14885,6032"
312;20221231;20230112;20230107;27616;SO43707;"14885,6032"
330;20221231;20230112;20230107;20042;SO43708;"2908,2485"
313;20221231;20230112;20230107;16351;SO43709;"14885,6032"
314;20221231;20230112;20230107;16517;SO43710;"14885,6032"
314;20230101;20230113;20230108;27606;SO43711;"1341,8513"
311;20230101;20230113;20230108;13513;SO43712;"1341,8513"
310;20230102;20230114;20230109;27601;SO43713;"1341,8513"
311;20230102;20230114;20230109;13591;SO43714;"1341,8513"
314;20230102;20230114;20230109;16483;SO43715;"1341,8513"
311;20230102;20230114;20230109;16529;SO43716;"1341,8513"
336;20230102;20230114;20230109;25249;SO43717;"262,1619"
311;20230103;20230115;20230110;27668;SO43718;"1341,8513"
312;20230103;20230115;20230110;27612;SO43719;"1341,8513"
311;20230103;20230115;20230110;13264;SO43720;"1341,8513"
310;20230103;20230115;20230110;13590;SO43721;"1341,8513"
312;20230104;20230116;20230111;13581;SO43722;"1341,8513"
332;20230104;20230116;20230111;14520;SO43723;"262,1619"
311;20230104;20230116;20230111;16520;SO43724;"1341,8513"
311;20230105;20230117;20230112;13258;SO43725;"1341,8513"
332;20230105;20230117;20230112;14560;SO43726;"262,1619"
311;20230105;20230117;20230112;16607;SO43727;"1341,8513"
313;20230106;20230118;20230113;27666;SO43728;"1341,8513"
346;20230106;20230118;20230113;11238;SO43729;"1274,9963"
346;20230106;20230118;20230113;25861;SO43730;"1274,9963"
314;20230106;20230118;20230113;16629;SO43731;"1341,8513"
350;20230106;20230118;20230113;11025;SO43732;"1265,6213"
312;20230106;20230118;20230113;27577;SO43733;"1341,8513"
312;20230107;20230119;20230114;27604;SO43734;"1341,8513"
310;20230107;20230119;20230114;16522;SO43735;"1341,8513"
346;20230107;20230119;20230114;11002;SO43736;"1274,9963"
311;20230108;20230120;20230115;13261;SO43737;"1341,8513"
312;20230108;20230120;20230115;11606;SO43738;"1341,8513"
310;20230108;20230120;20230115;13563;SO43739;"1341,8513"
312;20230108;20230120;20230115;16527;SO43740;"1341,8513"
310;20230109;20230121;20230116;27671;SO43741;"1341,8513"
314;20230109;20230121;20230116;13576;SO43742;"1341,8513"
347;20230109;20230121;20230116;11007;SO43743;"1274,9963"
313;20230109;20230121;20230116;16631;SO43744;"1341,8513"
311;20230110;20230122;20230117;16514;SO43745;"1341,8513"
312;20230110;20230122;20230117;16616;SO43746;"1341,8513"
314;20230111;20230123;20230118;27623;SO43747;"1341,8513"
313;20230111;20230123;20230118;27625;SO43748;"1341,8513"
314;20230111;20230123;20230118;27636;SO43749;"1341,8513"
311;20230111;20230123;20230118;11591;SO43750;"1341,8513"
313;20230111;20230123;20230118;11592;SO43751;"1341,8513"
311;20230111;20230123;20230118;13265;SO43752;"1341,8513"
310;20230111;20230123;20230118;16482;SO43753;"1341,8513"
312;20230112;20230124;20230119;27617;SO43754;"1341,8513"
311;20230112;20230124;20230119;27670;SO43755;"1341,8513"
332;20230112;20230124;20230119;19941;SO43756;"262,1619"
350;20230112;20230124;20230119;11017;SO43757;"1265,6213"
310;20230113;20230125;20230120;27646;SO43758;"1341,8513"
310;20230113;20230125;20230120;13257;SO43759;"1341,8513"
314;20230113;20230125;20230120;16352;SO43760;"1341,8513"
310;20230113;20230125;20230120;16493;SO43761;"1341,8513"
314;20230114;20230126;20230121;27578;SO43762;"1341,8513"
313;20230114;20230126;20230121;16525;SO43763;"1341,8513"
310;20230114;20230126;20230121;16612;SO43764;"1341,8513"
346;20230114;20230126;20230121;11010;SO43765;"1274,9963"
313;20230115;20230127;20230122;16518;SO43766;"1341,8513"
350;20230115;20230127;20230122;11001;SO43767;"1265,6213"
312;20230116;20230128;20230123;27649;SO43768;"1341,8513"
312;20230116;20230128;20230123;21659;SO43769;"1341,8513"
312;20230116;20230128;20230123;27614;SO43770;"1341,8513"
330;20230116;20230128;20230123;14559;SO43771;"262,1619"
312;20230116;20230128;20230123;16524;SO43772;"1341,8513"
314;20230116;20230128;20230123;16526;SO43773;"1341,8513"
313;20230116;20230128;20230123;16348;SO43774;"1341,8513"
347;20230116;20230128;20230123;11027;SO43775;"1274,9963"
314;20230117;20230129;20230124;13260;SO43776;"1341,8513"
311;20230117;20230129;20230124;16515;SO43777;"1341,8513"
345;20230117;20230129;20230124;11018;SO43778;"1274,9963"
326;20230117;20230129;20230124;25252;SO43779;"262,1619"
311;20230118;20230130;20230125;11599;SO43780;"1341,8513"
312;20230118;20230130;20230125;16495;SO43781;"1341,8513"
312;20230118;20230130;20230125;16516;SO43782;"1341,8513"
312;20230118;20230130;20230125;16620;SO43783;"1341,8513"
310;20230119;20230131;20230126;27667;SO43784;"1341,8513"
311;20230119;20230131;20230126;11601;SO43785;"1341,8513"
311;20230119;20230131;20230126;11607;SO43786;"1341,8513"
344;20230119;20230131;20230126;29385;SO43787;"1274,9963"
351;20230119;20230131;20230126;11239;SO43788;"1265,6213"
351;20230119;20230131;20230126;25865;SO43789;"1265,6213"
344;20230119;20230131;20230126;25857;SO43790;"1274,9963"
314;20230119;20230131;20230126;16484;SO43791;"1341,8513"
312;20230119;20230131;20230126;16623;SO43792;"1341,8513"
344;20230119;20230131;20230126;11000;SO43793;"1274,9963"
347;20230119;20230131;20230126;11029;SO43794;"1274,9963"
312;20230120;20230201;20230127;27615;SO43795;"1341,8513"
342;20230120;20230201;20230127;17956;SO43796;"262,1619"
312;20230120;20230201;20230127;16345;SO43797;"1341,8513"
310;20230120;20230201;20230127;16521;SO43798;"1341,8513"
312;20230120;20230201;20230127;16636;SO43799;"1341,8513"
311;20230121;20230202;20230128;21710;SO43800;"1341,8513"
311;20230121;20230202;20230128;13583;SO43801;"1341,8513"
312;20230121;20230202;20230128;11593;SO43802;"1341,8513"
314;20230122;20230203;20230129;21741;SO43803;"1341,8513"
310;20230122;20230203;20230129;13585;SO43804;"1341,8513"
328;20230122;20230203;20230129;14510;SO43805;"262,1619"
312;20230122;20230203;20230129;16523;SO43806;"1341,8513"
312;20230123;20230204;20230130;11611;SO43807;"1341,8513"
313;20230123;20230204;20230130;13259;SO43808;"1341,8513"
310;20230123;20230204;20230130;16350;SO43809;"1341,8513"
345;20230123;20230204;20230130;11004;SO43810;"1274,9963"
346;20230123;20230204;20230130;11026;SO43811;"1274,9963"
312;20230124;20230205;20230131;27662;SO43812;"1341,8513"
350;20230124;20230205;20230131;28390;SO43813;"1265,6213"
350;20230124;20230205;20230131;25866;SO43814;"1265,6213"
311;20230124;20230205;20230131;16494;SO43815;"1341,8513"
314;20230124;20230205;20230131;16496;SO43816;"1341,8513"
310;20230124;20230205;20230131;16519;SO43817;"1341,8513"
312;20230124;20230205;20230131;16528;SO43818;"1341,8513"
346;20230124;20230205;20230131;11006;SO43819;"1274,9963"
312;20230125;20230206;20230201;27651;SO43820;"1341,8513"
