ProductKey;ProductItemCode;ProductName;ProductColor;ProductSize;ProductLine;CategoryName;SubcategoryName;ProductDescription;ModelName;ProductStatus
210;FR-R92B-58;"HL Road Frame - Black, 58";Black;58;R ;Components;Road Frames;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";HL Road Frame;Current
211;FR-R92R-58;"HL Road Frame - Red, 58";Red;58;R ;Components;Road Frames;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";HL Road Frame;Current
212;HL-U509-R;"Sport-100 Helmet, Red";Red;NULL;S ;Accessories;Helmets;"Universal fit, well-vented, lightweight , snap-on visor.";Sport-100;Outdate
213;HL-U509-R;"Sport-100 Helmet, Red";Red;NULL;S ;Accessories;Helmets;"Universal fit, well-vented, lightweight , snap-on visor.";Sport-100;Outdate
214;HL-U509-R;"Sport-100 Helmet, Red";Red;NULL;S ;Accessories;Helmets;"Universal fit, well-vented, lightweight , snap-on visor.";Sport-100;Current
215;HL-U509;"Sport-100 Helmet, Black";Black;NULL;S ;Accessories;Helmets;"Universal fit, well-vented, lightweight , snap-on visor.";Sport-100;Outdate
216;HL-U509;"Sport-100 Helmet, Black";Black;NULL;S ;Accessories;Helmets;"Universal fit, well-vented, lightweight , snap-on visor.";Sport-100;Outdate
217;HL-U509;"Sport-100 Helmet, Black";Black;NULL;S ;Accessories;Helmets;"Universal fit, well-vented, lightweight , snap-on visor.";Sport-100;Current
218;SO-B909-M;"Mountain Bike Socks, M";White;M;M ;Clothing;Socks;Combination of natural and synthetic fibers stays dry and provides just the right cushioning.;Mountain Bike Socks;Outdate
219;SO-B909-L;"Mountain Bike Socks, L";White;L;M ;Clothing;Socks;Combination of natural and synthetic fibers stays dry and provides just the right cushioning.;Mountain Bike Socks;Outdate
220;HL-U509-B;"Sport-100 Helmet, Blue";Blue;NULL;S ;Accessories;Helmets;"Universal fit, well-vented, lightweight , snap-on visor.";Sport-100;Outdate
221;HL-U509-B;"Sport-100 Helmet, Blue";Blue;NULL;S ;Accessories;Helmets;"Universal fit, well-vented, lightweight , snap-on visor.";Sport-100;Outdate
222;HL-U509-B;"Sport-100 Helmet, Blue";Blue;NULL;S ;Accessories;Helmets;"Universal fit, well-vented, lightweight , snap-on visor.";Sport-100;Current
223;CA-1098;AWC Logo Cap;Multi;NULL;S ;Clothing;Caps;"Traditional style with a flip-up brim; one-size fits all.";Cycling Cap;Outdate
224;CA-1098;AWC Logo Cap;Multi;NULL;S ;Clothing;Caps;"Traditional style with a flip-up brim; one-size fits all.";Cycling Cap;Outdate
225;CA-1098;AWC Logo Cap;Multi;NULL;S ;Clothing;Caps;"Traditional style with a flip-up brim; one-size fits all.";Cycling Cap;Current
226;LJ-0192-S;"Long-Sleeve Logo Jersey, S";Multi;S;S ;Clothing;Jerseys;Unisex long-sleeve AWC logo microfiber cycling jersey;Long-Sleeve Logo Jersey;Outdate
227;LJ-0192-S;"Long-Sleeve Logo Jersey, S";Multi;S;S ;Clothing;Jerseys;Unisex long-sleeve AWC logo microfiber cycling jersey;Long-Sleeve Logo Jersey;Outdate
228;LJ-0192-S;"Long-Sleeve Logo Jersey, S";Multi;S;S ;Clothing;Jerseys;Unisex long-sleeve AWC logo microfiber cycling jersey;Long-Sleeve Logo Jersey;Current
229;LJ-0192-M;"Long-Sleeve Logo Jersey, M";Multi;M;S ;Clothing;Jerseys;Unisex long-sleeve AWC logo microfiber cycling jersey;Long-Sleeve Logo Jersey;Outdate
230;LJ-0192-M;"Long-Sleeve Logo Jersey, M";Multi;M;S ;Clothing;Jerseys;Unisex long-sleeve AWC logo microfiber cycling jersey;Long-Sleeve Logo Jersey;Outdate
231;LJ-0192-M;"Long-Sleeve Logo Jersey, M";Multi;M;S ;Clothing;Jerseys;Unisex long-sleeve AWC logo microfiber cycling jersey;Long-Sleeve Logo Jersey;Current
232;LJ-0192-L;"Long-Sleeve Logo Jersey, L";Multi;L;S ;Clothing;Jerseys;Unisex long-sleeve AWC logo microfiber cycling jersey;Long-Sleeve Logo Jersey;Outdate
233;LJ-0192-L;"Long-Sleeve Logo Jersey, L";Multi;L;S ;Clothing;Jerseys;Unisex long-sleeve AWC logo microfiber cycling jersey;Long-Sleeve Logo Jersey;Outdate
234;LJ-0192-L;"Long-Sleeve Logo Jersey, L";Multi;L;S ;Clothing;Jerseys;Unisex long-sleeve AWC logo microfiber cycling jersey;Long-Sleeve Logo Jersey;Current
235;LJ-0192-X;"Long-Sleeve Logo Jersey, XL";Multi;XL;S ;Clothing;Jerseys;Unisex long-sleeve AWC logo microfiber cycling jersey;Long-Sleeve Logo Jersey;Outdate
236;LJ-0192-X;"Long-Sleeve Logo Jersey, XL";Multi;XL;S ;Clothing;Jerseys;Unisex long-sleeve AWC logo microfiber cycling jersey;Long-Sleeve Logo Jersey;Outdate
237;LJ-0192-X;"Long-Sleeve Logo Jersey, XL";Multi;XL;S ;Clothing;Jerseys;Unisex long-sleeve AWC logo microfiber cycling jersey;Long-Sleeve Logo Jersey;Current
238;FR-R92R-62;"HL Road Frame - Red, 62";Red;62;R ;Components;Road Frames;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";HL Road Frame;Outdate
239;FR-R92R-62;"HL Road Frame - Red, 62";Red;62;R ;Components;Road Frames;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";HL Road Frame;Outdate
240;FR-R92R-62;"HL Road Frame - Red, 62";Red;62;R ;Components;Road Frames;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";HL Road Frame;Current
241;FR-R92R-44;"HL Road Frame - Red, 44";Red;44;R ;Components;Road Frames;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";HL Road Frame;Outdate
242;FR-R92R-44;"HL Road Frame - Red, 44";Red;44;R ;Components;Road Frames;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";HL Road Frame;Outdate
243;FR-R92R-44;"HL Road Frame - Red, 44";Red;44;R ;Components;Road Frames;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";HL Road Frame;Current
244;FR-R92R-48;"HL Road Frame - Red, 48";Red;48;R ;Components;Road Frames;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";HL Road Frame;Outdate
245;FR-R92R-48;"HL Road Frame - Red, 48";Red;48;R ;Components;Road Frames;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";HL Road Frame;Outdate
246;FR-R92R-48;"HL Road Frame - Red, 48";Red;48;R ;Components;Road Frames;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";HL Road Frame;Current
247;FR-R92R-52;"HL Road Frame - Red, 52";Red;52;R ;Components;Road Frames;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";HL Road Frame;Outdate
248;FR-R92R-52;"HL Road Frame - Red, 52";Red;52;R ;Components;Road Frames;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";HL Road Frame;Outdate
249;FR-R92R-52;"HL Road Frame - Red, 52";Red;52;R ;Components;Road Frames;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";HL Road Frame;Current
250;FR-R92R-56;"HL Road Frame - Red, 56";Red;56;R ;Components;Road Frames;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";HL Road Frame;Outdate
251;FR-R92R-56;"HL Road Frame - Red, 56";Red;56;R ;Components;Road Frames;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";HL Road Frame;Outdate
